Method,Dataset,Distance,R@1,R@5,R@10,R@20
cosplace,sf_xs_test,l2,63.10,74.80,78.60,81.30
cosplace,sf_xs_test,dot_product,63.10,74.80,78.60,81.30
cosplace,tokyo_xs_test,l2,64.80,79.70,86.00,89.50
cosplace,tokyo_xs_test,dot_product,64.80,79.70,86.00,89.50
cosplace,svox_sun_test,l2,96.30,97.90,98.30,98.70
cosplace,svox_sun_test,dot_product,96.30,97.90,98.30,98.70
cosplace,svox_night_test,l2,33.30,51.50,59.10,67.70
cosplace,svox_night_test,dot_product,33.30,51.50,59.10,67.70
netvlad,sf_xs_test,l2,42.30,53.70,60.80,65.20
netvlad,sf_xs_test,dot_product,42.30,53.70,60.80,65.20
netvlad,tokyo_xs_test,l2,54.00,64.40,69.50,74.60
netvlad,tokyo_xs_test,dot_product,54.00,64.40,69.50,74.60
netvlad,svox_sun_test,l2,86.60,93.70,95.50,97.00
netvlad,svox_sun_test,dot_product,86.60,93.70,95.50,97.00
netvlad,svox_night_test,l2,8.50,18.20,22.70,29.50
netvlad,svox_night_test,dot_product,8.50,18.20,22.70,29.50
mixvpr,sf_xs_test,l2,70.20,79.00,81.30,83.90
mixvpr,sf_xs_test,dot_product,70.20,79.00,81.30,83.90
mixvpr,tokyo_xs_test,l2,77.80,89.50,92.40,93.70
mixvpr,tokyo_xs_test,dot_product,77.80,89.50,92.40,93.70
mixvpr,svox_sun_test,l2,97.80,98.90,99.10,99.30
mixvpr,svox_sun_test,dot_product,97.80,98.90,99.10,99.30
mixvpr,svox_night_test,l2,63.10,79.80,84.10,88.00
mixvpr,svox_night_test,dot_product,63.10,79.80,84.10,88.00
megaloc,sf_xs_test,l2,85.60,89.40,90.00,90.70
megaloc,sf_xs_test,dot_product,85.60,89.40,90.00,90.70
megaloc,tokyo_xs_test,l2,94.90,97.80,98.40,98.70
megaloc,tokyo_xs_test,dot_product,94.90,97.80,98.40,98.70
megaloc,svox_sun_test,l2,98.50,99.40,99.60,99.70
megaloc,svox_sun_test,dot_product,98.50,99.40,99.60,99.70
megaloc,svox_night_test,l2,91.50,96.70,97.60,98.30
megaloc,svox_night_test,dot_product,91.50,96.70,97.60,98.30
